,term,Course_Name,enrolled,total_Seats
1598,Fall 2015,CSC 899 [01 ],0,15
1599,Fall 2015,CSC 848 [01 ],12,15
1600,Fall 2015,CSC 848 [02 ],15,15
1601,Fall 2015,CSC 849 [01 ],6,20
1602,Fall 2015,CSC 857 [01 ],8,15
1603,Fall 2015,CSC 867 [01 ],21,20
1604,Fall 2015,CSC 872 [01 ],23,20
1605,Fall 2015,CSC 893 [01 ],1,10
1606,Fall 2015,CSC 895 [01 ],0,0
1607,Fall 2015,CSC 897 [01 ],0,24
1608,Fall 2015,CSC 898 [01 ],0,0
1609,Fall 2015,CSC 899 [01 ],0,15
1610,Spring 2016,CSC 210 [01 ],65,55
1611,Spring 2016,CSC 210 [02 ],69,60
1612,Spring 2016,CSC 210 [03 ],71,60
1613,Spring 2016,CSC 210 [04 ],59,55
1614,Spring 2016,CSC 210 [05 ],57,55
1615,Spring 2016,CSC 211 [01 ],38,40
1616,Spring 2016,CSC 220 [01 ],40,40
1617,Spring 2016,CSC 220 [02 ],38,40
1618,Spring 2016,CSC 220 [03 ],56,55
1619,Spring 2016,CSC 220 [04 ],23,40
1620,Spring 2016,CSC 230 [01 ],38,40
1621,Spring 2016,CSC 230 [02 ],34,40
1622,Spring 2016,CSC 230 [03 ],53,55
1623,Spring 2016,CSC 256 [01 ],39,40
1624,Spring 2016,CSC 256 [02 ],49,55
1625,Spring 2016,CSC 300GW [01 ],24,25
1626,Spring 2016,CSC 300GW [02 ],25,25
1627,Spring 2016,CSC 300GW [03 ],25,25
1628,Spring 2016,CSC 300GW [04 ],25,25
1629,Spring 2016,CSC 309 [01 ],30,55
1630,Spring 2016,CSC 340 [01 ],61,55
1631,Spring 2016,CSC 340 [02 ],34,55
1632,Spring 2016,CSC 340 [03 ],54,55
1633,Spring 2016,CSC 412 [01 ],33,40
1634,Spring 2016,CSC 412 [02 ],40,40
1635,Spring 2016,CSC 412 [03 ],43,40
1636,Spring 2016,CSC 413 [01 ],42,40
1637,Spring 2016,CSC 413 [02 ],21,40
1638,Spring 2016,CSC 413 [03 ],51,55
1639,Spring 2016,CSC 415 [01 ],58,50
1640,Spring 2016,CSC 415 [02 ],46,50
1641,Spring 2016,CSC 510 [01 ],45,40
1642,Spring 2016,CSC 510 [02 ],68,55
1643,Spring 2016,CSC 520 [01 ],66,55
1644,Spring 2016,CSC 600 [01 ],40,55
1645,Spring 2016,CSC 600 [02 ],41,40
1646,Spring 2016,CSC 621 [01 ],18,25
1647,Spring 2016,CSC 631 [01 ],27,25
1648,Spring 2016,CSC 645 [01 ],25,25
1649,Spring 2016,CSC 648 [01 ],48,40
1650,Spring 2016,CSC 650 [01 ],36,50
1651,Spring 2016,CSC 656 [01 ],39,50
1652,Spring 2016,CSC 667 [01 ],37,30
1653,Spring 2016,CSC 668 [01 ],26,35
1654,Spring 2016,CSC 675 [01 ],33,30
1655,Spring 2016,CSC 675 [02 ],28,20
1656,Spring 2016,CSC 694 [01 ],1,15
1657,Spring 2016,CSC 699 [01 ],0,15
1658,Spring 2016,CSC 720 [01 ],30,20
1659,Spring 2016,CSC 745 [01 ],9,15
1660,Spring 2016,CSC 775 [01 ],8,10
1661,Spring 2016,CSC 775 [02 ],15,15
1662,Spring 2016,CSC 810 [01 ],12,20
1663,Spring 2016,CSC 821 [01 ],11,15
1664,Spring 2016,CSC 831 [01 ],9,15
1665,Spring 2016,CSC 840 [01 ],9,20
1666,Spring 2016,CSC 848 [01 ],9,15
1667,Spring 2016,CSC 867 [01 ],4,10
1668,Spring 2016,CSC 868 [01 ],21,20
1669,Spring 2016,CSC 890 [01 ],8,40
1670,Spring 2016,CSC 890 [02 ],6,20
1671,Spring 2016,CSC 893 [01 ],0,15
1672,Spring 2016,CSC 895 [01 ],0,5
1673,Spring 2016,CSC 897 [01 ],0,5
1674,Spring 2016,CSC 898 [01 ],0,5
1675,Spring 2016,CSC 899 [01 ],0,10
1676,Spring 2016,CSC 775 [01 ],8,10
1677,Spring 2016,CSC 775 [02 ],15,15
1678,Spring 2016,CSC 810 [01 ],12,20
1679,Spring 2016,CSC 821 [01 ],11,15
1680,Spring 2016,CSC 831 [01 ],9,15
1681,Spring 2016,CSC 840 [01 ],9,20
1682,Spring 2016,CSC 848 [01 ],9,15
1683,Spring 2016,CSC 867 [01 ],4,10
1684,Spring 2016,CSC 868 [01 ],21,20
1685,Spring 2016,CSC 890 [01 ],8,40
1686,Spring 2016,CSC 890 [02 ],6,20
